"","seed"
"598",1423307927
"599",1362345347
"600",956500917
"601",1574223308
"602",1861921880
"603",864868606
"604",885447643
"605",1914023224
"606",549043318
"607",288770019
"608",1767895429
"609",2050165236
"610",376768431
"611",280369446
"612",559600010
"613",1503404621
"614",347625911
"615",2131462257
"616",1442664562
"617",1643316416
"618",156950759
"619",1726838826
"620",1728033725
"621",1714389121
"622",158813257
"623",1987899235
"624",1980418792
"625",1094258916
"626",581967781
"627",1127671626
"628",1729375933
"629",1608745367
"630",1775965088
"631",471384344
"632",1308277068
"633",997811386
"634",33878175
"635",248532486
"636",1034773149
"637",1129504090
"638",769305921
"639",708889993
"640",910552512
"641",32217258
"642",1575206386
"643",1125663423
"644",1094954441
"645",2085118187
"646",238609959
"647",1295874852
"648",137986835
"649",1602453411
"650",1714816349
"651",104278288
"652",880998825
"653",2003026580
"654",328041486
"655",430796769
"656",7040897
"657",4172652
"658",836946003
"659",597109195
"660",1114730903
"661",556866242
"662",1441158526
"663",856928718
"664",712446704
"665",164223125
"666",1604378999
"667",387940084
"668",1092328220
"669",122087684
"670",2086160286
"671",530394277
"672",1637818344
"673",1284057645
"674",311835913
"675",930587937
"676",325856311
"677",625632340
"678",995332023
"679",358685001
"680",682552333
"681",1543825471
"682",495061274
"683",368267374
"684",244341441
"685",615354672
"686",1434918611
"687",1098865272
"688",1423034498
"689",1890440918
"690",639866679
"691",1391436228
"692",2018329149
"693",105534509
"694",965730457
"695",763004580
"696",247742299
"697",31388396
"698",941246338
"699",1047060202
"700",1633663022
"701",1029088724
"702",2042978501
"703",1993527283
"704",2123435234
"705",560998741
"706",384198484
"707",274304992
"708",1445366376
"709",1774805771
"710",1976853115
"711",1896656447
"712",1729315065
"713",1744110502
"714",474382437
"715",1595723345
"716",34068006
"717",1618502304
"718",1939306950
"719",223801162
"720",1560953482
"721",806187691
"722",936357806
"723",1973043817
"724",2013286980
"725",707180281
"726",120929303
"727",276737279
"728",1314856336
"729",824640916
"730",1552137079
"731",1342730873
"732",1397708017
"733",618548490
"734",698406632
"735",705700749
"736",1399641305
"737",1385244224
"738",1809347064
"739",1648978494
"740",815576969
"741",53152176
"742",390293018
"743",1718907366
"744",1095874083
"745",716234369
"746",383003068
"747",1500487886
"748",895331393
"749",1993793978
"750",1983280887
"751",313057235
"752",854165723
"753",453403214
"754",1063891488
"755",422616206
"756",89892436
"757",2054608815
"758",1472226097
"759",1258711037
"760",1088121688
"761",2128206775
"762",997587317
"763",429774117
"764",1935137208
"765",299628072
"766",1953122470
"767",1029050909
"768",1718493736
"769",240032181
"770",571048547
"771",1576403161
"772",206102990
"773",1389521341
"774",1811315256
"775",2040113256
"776",701438047
"777",1552694633
"778",237951347
"779",1501755851
"780",1586610447
"781",960677139
"782",1609370423
"783",857987727
"784",653975181
"785",1347050632
"786",390370077
"787",664588925
"788",1956707325
"789",1075454513
"790",924178736
"791",1998645872
"792",1789120994
"793",287350160
"794",1266184336
"795",1772064964
"796",651349686
"797",2128749561
"798",473635933
"799",20200713
"800",1627001797
"801",595004459
"802",145681029
"803",1461136843
"804",2127122069
"805",1178411221
"806",1844163114
"807",1439085445
"808",1462624757
"809",1145000561
"810",180937865
"811",593137140
"812",1143871692
"813",1065279503
"814",32960343
"815",1747896813
"816",2044941658
"817",1233524449
"818",187663315
"819",206509782
"820",808847596
"821",1850786402
"822",1425039850
"823",496326738
"824",138625680
"825",312928230
"826",283512438
"827",438588431
"828",2107094753
"829",339189054
"830",2118403300
"831",1258912172
"832",1993174132
"833",1477899311
"834",1230408310
"835",349520285
"836",1623908831
"837",2093029892
"838",510178410
"839",638182413
"840",698621747
"841",2051121291
"842",82498629
"843",2142690876
"844",1704718254
"845",1394931955
"846",268866639
"847",1394488014
"848",511064446
"849",108380587
"850",593366737
"851",746500362
"852",1053237187
"853",649276781
"854",38117952
"855",1600931609
"856",740897831
"857",952910049
"858",730590196
"859",1483085258
"860",1622706969
"861",1232687617
"862",1451884444
"863",916746227
"864",1626666801
"865",606129759
"866",1799819010
"867",2051453543
"868",191873474
"869",393708185
"870",1943864966
"871",1983642838
"872",577072369
"873",1145115809
"874",1417995489
"875",1317168902
"876",316905685
"877",300693460
"878",1374882147
"879",539389689
"880",1533003280
"881",744980035
"882",1018725073
"883",2040501889
"884",311535529
"885",1568171416
"886",1976197506
"887",730479435
"888",1932334433
"889",829100832
"890",451032898
"891",377895578
"892",1678989585
"893",1796873391
"894",1095118791
"895",1054600920
"896",2124784927
"897",755079774
"898",1665432959
"899",78917101
"900",1285834472
"901",264592119
"902",330860792
"903",447839349
"904",565376751
"905",1041325546
"906",647772697
"907",1052708084
"908",403646268
"909",1128660683
"910",747347584
"911",163172730
"912",1381930260
"913",304648726
"914",260599590
"915",1984083478
"916",1110174970
"917",1807405306
"918",1093757315
"919",61901524
"920",2035880666
"921",1157554016
"922",2103965460
"923",585896126
"924",551517736
"925",701116540
"926",762781078
"927",674159488
"928",1824776411
"929",1395128980
"930",577876232
"931",1254885568
"932",1374400521
"933",1854422639
"934",34958286
"935",1232509049
"936",2082899758
"937",99993941
"938",376717713
"939",1531592643
"940",751735468
"941",2076168025
"942",1075927283
"943",1318010996
"944",399255550
"945",752302580
"946",1253991277
"947",1766137650
"948",2095235419
"949",1334773014
"950",782921810
"951",1647973122
"952",1948509015
"953",859655676
"954",364633815
"955",1917802079
"956",287337072
"957",1428760410
"958",681377860
"959",1376383804
"960",53875776
"961",916127407
"962",2113314989
"963",25577774
"964",2089402873
"965",293261199
"966",527722737
"967",1836289505
"968",61274022
"969",1159926904
"970",1569487614
"971",754895189
"972",1331631141
"973",725420392
"974",1031399814
"975",5847601
"976",722675287
"977",636058703
"978",829966888
"979",2055883203
"980",110629869
"981",766848661
"982",128044347
"983",1345171704
"984",1172718341
"985",767819262
"986",221179458
"987",890780383
"988",2078701064
"989",1214251048
"990",1076417707
"991",1351530056
"992",1081102130
"993",841641040
"994",1515686095
"995",206952566
"996",1619274370
"997",812833628
"998",1449576041
"999",296631727
"1000",1042834202
"1001",1596913563
"1002",1575907343
"1003",824317202
"1004",358420996
"1005",118782184
"1006",207001652
"1007",1250990416
"1008",119891279
"1009",456263213
"1010",1464161167
"1011",1264046762
"1012",1779565211
"1013",225098490
"1014",315232771
"1015",589130191
"1016",1849889932
"1017",1190251337
"1018",391268053
"1019",585214426
"1020",2057844282
"1021",1597840974
"1022",1204883658
"1023",1218781109
"1024",1191140482
"1025",497937092
"1026",451917615
"1027",671564535
"1028",1175951427
"1029",409610386
"1030",863651050
"1031",1274908683
"1032",1482555154
"1033",922982204
"1034",1756596793
"1035",1330578107
"1036",751624532
"1037",1752753377
"1038",1322192226
"1039",1937604539
"1040",2136552324
"1041",777358365
"1042",470634214
"1043",704633072
"1044",760518162
"1045",2029619387
"1046",1335404194
"1047",1163856089
"1048",251928255
"1049",800188933
"1050",259232601
"1051",71936118
"1052",379655286
"1053",670628911
"1054",2112375670
"1055",1240051669
"1056",1721525656
"1057",1663947380
"1058",1139224162
"1059",1960564320
"1060",1488902035
"1061",43464429
"1062",1776946293
"1063",1594402786
"1064",942146155
"1065",340247672
"1066",142984804
"1067",1692059882
"1068",143154621
"1069",892073799
"1070",279015661
"1071",1305094759
"1072",885283133
"1073",1936202346
"1074",432150976
"1075",1963627707
"1076",725386434
"1077",233320080
"1078",139487704
"1079",905408565
"1080",2044551477
"1081",1202517546
"1082",1906919118
"1083",656589110
"1084",380984814
"1085",40314093
"1086",1145252992
"1087",1703055350
"1088",1470843043
"1089",1063161879
"1090",280863267
"1091",1986839770
"1092",1123231513
"1093",1579739619
"1094",2131756826
"1095",1933313782
"1096",78503737
"1097",1955062923
"1098",1530339232
"1099",952021174
"1100",638916457
"1101",410513859
"1102",552568403
"1103",1854894374
"1104",1726438803
"1105",312744750
"1106",675269869
"1107",687570889
"1108",596422728
"1109",2064332084
"1110",935089500
"1111",126392304
"1112",1116211754
"1113",563424157
"1114",890127301
"1115",345028245
"1116",1077226388
"1117",922624777
"1118",1377413344
"1119",1968126151
"1120",213440461
"1121",1977158512
"1122",1417435578
"1123",1014510999
"1124",1243761858
"1125",1690157886
"1126",446808633
"1127",1781217430
"1128",28837823
"1129",1074149491
"1130",1323231406
"1131",1883340270
"1132",721629276
"1133",822706405
"1134",348375922
"1135",306444300
"1136",1613935795
"1137",495397175
"1138",1439497494
"1139",1778485501
"1140",1060432927
"1141",1088743245
"1142",650839378
"1143",411824921
"1144",1667200204
"1145",1231565687
"1146",1343063967
"1147",786008140
"1148",1495106208
"1149",1254977780
"1150",1229647614
"1151",130799960
"1152",1903469008
"1153",1202210766
"1154",529196217
"1155",1743634767
"1156",475944604
"1157",199643112
"1158",1921083263
"1159",2089775214
"1160",1146201826
"1161",1026740278
"1162",1323931340
"1163",179768299
"1164",1829020673
"1165",2874828
"1166",433985667
"1167",1190725519
"1168",1469237580
"1169",487283115
"1170",1418244698
"1171",1518757884
"1172",1323038095
"1173",817226432
"1174",1872019069
"1175",1453640867
"1176",1690686662
"1177",1592385339
"1178",1291726179
"1179",701297099
"1180",1909658642
"1181",2085487630
"1182",2125491512
"1183",1632353449
"1184",1200596995
"1185",1201453273
"1186",2071890712
"1187",686704233
"1188",1704890151
"1189",2065692425
"1190",936469671
"1191",1593815308
"1192",1446359236
"1193",659088370
"1194",1668358997
"1195",154360547
"1196",1627561315
"1197",26564229
"1198",1413583556
"1199",217802406
"1200",1119365936
"1201",256511351
"1202",2030553964
"1203",136022805
"1204",75613908
"1205",1105068724
"1206",1365433146
"1207",1813815906
"1208",1795576606
"1209",1141552229
"1210",1799789618
"1211",239910005
"1212",1735046059
"1213",333746395
"1214",1577029267
"1215",1705461169
"1216",1401597199
"1217",1715227634
"1218",1655564229
"1219",1207667429
"1220",499444990
"1221",1299275005
"1222",1978100586
"1223",275959021
"1224",2053824294
"1225",865804509
"1226",651283629
"1227",1031527727
"1228",2056410218
"1229",2127872626
"1230",2023178738
"1231",1647135815
"1232",1153723908
"1233",669859359
"1234",1267854864
"1235",599030653
"1236",1295865303
"1237",203099382
"1238",795379370
"1239",1655257044
"1240",211572399
"1241",118316080
"1242",2111310815
"1243",308849959
"1244",697341076
"1245",389851127
"1246",1535458282
"1247",1788544979
"1248",1885862212
"1249",1714350967
"1250",424170008
"1251",111743687
"1252",1502112846
"1253",2096331416
"1254",1742406845
"1255",825254498
"1256",1320453951
"1257",980218909
"1258",2130256332
"1259",465894892
"1260",406775090
"1261",1438218465
"1262",760699399
"1263",758294319
"1264",1014097325
"1265",1456663678
"1266",2137756130
"1267",1016936191
"1268",1311300879
"1269",840620504
"1270",1919698506
"1271",1459627220
"1272",1104048694
"1273",1956094629
"1274",704800816
"1275",2060527006
"1276",1674981980
"1277",517917412
"1278",1004191857
"1279",105029957
"1280",1957970183
"1281",246902641
"1282",1164517649
"1283",2078396526
"1284",2068777294
"1285",289564376
"1286",1962960705
"1287",310133408
"1288",1606745659
"1289",1847721102
"1290",680086890
"1291",1578085336
"1292",2101125355
"1293",818916380
"1294",1641197584
"1295",2146910244
"1296",2054947806
"1297",1082413984
"1298",739295130
"1299",1470711744
"1300",1019519106
"1301",573519691
"1302",1743492629
"1303",724086503
"1304",489588516
"1305",1896228386
"1306",382787799
"1307",765163657
"1308",607525234
"1309",1247035096
"1310",955877706
"1311",1284191008
"1312",1761675377
"1313",413673122
"1314",333476953
"1315",2120910518
"1316",1645080013
"1317",1861500585
"1318",1615998659
"1319",387923258
"1320",1552340259
"1321",1558655003
"1322",1154248920
"1323",2047474445
"1324",382998767
"1325",582693588
"1326",1123570075
"1327",1587285334
"1328",875795072
"1329",158467234
"1330",844191563
"1331",1218260916
"1332",877935451
"1333",1744231935
"1334",1184612520
"1335",1463023050
"1336",552130663
"1337",525176387
"1338",1187201639
"1339",2143131037
"1340",2081987530
"1341",89612800
"1342",1638994242
"1343",1242219463
"1344",1295266876
"1345",1794644520
"1346",1678869361
"1347",570250887
"1348",914871334
"1349",1994282517
"1350",621272634
"1351",233348392
"1352",1226806359
"1353",116680984
"1354",990110260
"1355",491672316
"1356",1575174403
"1357",518624574
"1358",873763947
"1359",389347881
"1360",891371045
"1361",688245255
"1362",411202768
"1363",325382148
"1364",833730287
"1365",1957608939
"1366",1099668687
"1367",570437154
"1368",343295341
"1369",1890367011
"1370",1489446534
"1371",427418624
"1372",1669404960
"1373",1319444027
"1374",1134960723
"1375",1522698602
"1376",413195506
"1377",1578110753
"1378",2016434093
"1379",1394050944
"1380",1877872242
"1381",1064199657
"1382",477654000
"1383",1027332541
"1384",975093611
"1385",935073885
"1386",2058231949
"1387",1134901792
"1388",792396907
"1389",1867521789
"1390",1745603079
"1391",454711155
"1392",1432798784
"1393",159631749
"1394",1278097746
"1395",2002145926
"1396",191297721
"1397",641228059
"1398",1233098285
"1399",170909623
"1400",1157198699
"1401",1885703936
"1402",304946041
"1403",1669724732
"1404",951138391
"1405",1211899526
"1406",773671122
"1407",619705818
"1408",305334710
"1409",173763260
"1410",1083448269
"1411",1549936322
"1412",209945279
"1413",1333898968
"1414",1067054041
"1415",1557420199
"1416",1950919473
"1417",124911801
"1418",1554222737
"1419",1726280521
"1420",1718727079
"1421",1444050580
"1422",554463337
"1423",2018264977
"1424",2059316949
"1425",1752411012
"1426",1774120560
"1427",640615516
"1428",328565309
"1429",1242777283
"1430",465331193
"1431",1249731277
"1432",1380989861
"1433",2086182286
"1434",1427979411
"1435",1163464460
"1436",64019564
"1437",2084791699
"1438",2011261873
"1439",1785166713
"1440",1900093387
"1441",273660723
"1442",2466012
"1443",1592202741
"1444",756784114
"1445",412706335
"1446",422300521
"1447",1364223920
"1448",11115468
"1449",396617985
"1450",1692006102
"1451",1095574538
"1452",108491838
"1453",93263345
"1454",419016443
"1455",211984072
"1456",1272334549
"1457",437988077
"1458",1792671149
"1459",1063747096
"1460",1858903543
"1461",1682321990
"1462",945286950
"1463",827450235
"1464",982092780
"1465",889031037
"1466",2015546785
"1467",876373649
"1468",1413574894
"1469",1696729065
"1470",583576924
"1471",268435295
"1472",489005078
"1473",109842842
"1474",808897754
"1475",1438103942
"1476",1205314710
"1477",1970440576
"1478",1853077856
"1479",747852289
"1480",1666321908
"1481",1193719592
"1482",1411095033
"1483",102751309
"1484",140713095
"1485",1184895005
"1486",881659037
"1487",1208273086
"1488",225827561
"1489",901397221
"1490",744780254
"1491",687477741
"1492",1474285238
"1493",1498811734
"1494",1560317587
"1495",1760740069
"1496",195590743
"1497",1492226423
"1498",1936016106
"1499",458703095
"1500",776964106
"1501",1298561729
"1502",761947563
"1503",1349644541
"1504",744512222
"1505",880670097
"1506",1837376204
"1507",1347538574
"1508",1752806432
"1509",1970476262
"1510",991096517
"1511",154344295
"1512",1702438653
"1513",485771586
"1514",347939906
"1515",2123521084
"1516",1748125692
"1517",1826715305
"1518",1414224878
"1519",1884619228
"1520",2010666599
"1521",122182471
"1522",602622305
"1523",2073433362
"1524",549864313
"1525",914616904
"1526",1483761610
"1527",156911261
"1528",1742368638
"1529",1383203042
"1530",2031361256
"1531",208658255
"1532",1557306445
"1533",6312692
"1534",1591050688
"1535",1740504192
"1536",1351549770
"1537",1765459499
"1538",1942731252
"1539",70630373
"1540",1505022338
"1541",951808261
"1542",1877399040
"1543",1654041767
"1544",334222392
"1545",69737690
"1546",2108927705
"1547",456713651
"1548",1320651488
"1549",1013262330
"1550",783671675
"1551",1574832244
"1552",84942043
"1553",1728198737
"1554",530341111
"1555",1239544866
"1556",801112785
"1557",1966178180
"1558",175181650
"1559",692044300
"1560",1385537107
"1561",403377234
"1562",1691373509
"1563",1858362376
"1564",1060565973
"1565",940626854
"1566",118026908
"1567",2054213702
"1568",722816055
"1569",1516886180
"1570",1621286430
"1571",160207834
"1572",67234121
"1573",600542679
"1574",773386402
"1575",782922205
"1576",1281127349
"1577",1762903593
"1578",775790906
"1579",1718357495
"1580",618346566
"1581",382411129
"1582",1629464301
"1583",120856974
"1584",676886838
"1585",1076746013
"1586",1612317398
"1587",178533916
"1588",971492172
"1589",574170711
"1590",2087043003
"1591",1140769337
"1592",841834656
"1593",259093473
"1594",1658558139
"1595",293347692
"1596",630381630
"1597",1929635198
"1598",488164124
"1599",18526906
"1600",29902075
"1601",578355047
"1602",21819113
"1603",821263386
"1604",576074699
"1605",1845144499
"1606",1381194708
"1607",507992282
"1608",1099403456
"1609",547972201
"1610",680242913
"1611",1186841734
"1612",47659799
"1613",849209194
"1614",382052775
"1615",608890644
"1616",1742473021
"1617",1404362186
"1618",899775848
"1619",1999865910
"1620",1905101129
"1621",172860298
"1622",253956007
"1623",1255766991
"1624",1283623077
"1625",1908591341
"1626",240409971
"1627",1681097965
"1628",1583311590
"1629",97490731
"1630",2117540441
"1631",1738542447
"1632",157039402
"1633",2060717018
"1634",566750639
"1635",377745742
"1636",747766011
"1637",1500021758
"1638",1814027280
"1639",386142298
"1640",580610367
"1641",1418552092
"1642",527407860
"1643",172791194
"1644",1171698367
"1645",1464990271
"1646",996137849
"1647",793267418
"1648",692438122
"1649",2092161965
"1650",756207565
"1651",2086106601
"1652",1339622725
"1653",1772616418
"1654",581548814
"1655",108721708
"1656",945940767
"1657",1305059569
"1658",894425531
"1659",221758311
"1660",924697740
"1661",561500424
"1662",1788080143
"1663",1248861489
"1664",437782143
"1665",363025768
"1666",302429313
"1667",318657333
"1668",1541628778
"1669",1225956023
"1670",1127824482
"1671",1228296524
"1672",1812099920
"1673",540943581
"1674",1336080813
"1675",995363272
"1676",271700359
"1677",171575222
"1678",1640437923
"1679",1659101510
"1680",1442549416
"1681",2007155613
"1682",1615836084
"1683",802333450
"1684",1422417272
"1685",303079762
"1686",493685101
"1687",74191210
"1688",1268129904
"1689",1480561977
"1690",173248638
"1691",478773462
"1692",725570712
"1693",1242029875
"1694",2074768163
"1695",1841384569
"1696",1114753818
"1697",78121179
"1698",122786181
"1699",1671597580
"1700",847497949
"1701",1922044477
"1702",1593617270
"1703",42975226
"1704",2086684191
"1705",599259638
"1706",1315541446
"1707",164099619
"1708",1942053105
"1709",276736969
"1710",281097141
"1711",1797846263
"1712",1027958830
"1713",1271980401
"1714",1959174288
"1715",936019598
"1716",1030025423
"1717",99394173
"1718",2024086394
"1719",965354863
"1720",1514952029
"1721",370669726
"1722",1163659190
"1723",1917286577
"1724",386333883
"1725",1479125361
"1726",204071306
"1727",1855386742
"1728",1096799261
"1729",2077276598
"1730",1656819708
"1731",1730611004
"1732",1382817999
"1733",473072491
"1734",1427206682
"1735",1099163221
"1736",1323077262
"1737",2144023485
"1738",23154137
"1739",2133526340
"1740",1600319264
"1741",1850543082
"1742",1440667133
"1743",253288852
"1744",1223747464
"1745",908104533
"1746",2100507724
"1747",817026721
"1748",1666683226
"1749",1557740331
"1750",1650233996
"1751",429181794
"1752",19696200
